node_id,role,initial_energy_j,final_energy_j,total_energy_consumed_j,tx_energy_consumed_j,rx_energy_consumed_j,tx_packet_count,rx_packet_count,total_packet_count,avg_energy_per_tx_packet_j,avg_energy_per_rx_packet_j,energy_efficiency_j_per_packet
0,UNREGISTERED,3.000000,2.744734,0.255266,0.062895,0.192371,638,1732,2370,0.000098581,0.000111069,0.000107707
1,UNREGISTERED,3.000000,2.699987,0.300013,0.064103,0.235910,651,2124,2775,0.000098469,0.000111069,0.000108113
2,UNREGISTERED,3.000000,2.699949,0.300051,0.031042,0.269009,449,2422,2871,0.000069136,0.000111069,0.000104511
3,ROUTER,3.000000,2.699948,0.300052,0.072250,0.227802,735,2051,2786,0.000098300,0.000111069,0.000107700
4,UNREGISTERED,3.000000,2.699945,0.300055,0.043487,0.256569,629,2310,2939,0.000069136,0.000111069,0.000102094
5,UNREGISTERED,3.000000,2.699966,0.300034,0.095779,0.204256,931,1839,2770,0.000102877,0.000111069,0.000108316
6,UNREGISTERED,3.000000,2.760755,0.239245,0.050650,0.188595,543,1698,2241,0.000093278,0.000111069,0.000106758
7,UNREGISTERED,3.000000,2.710020,0.289980,0.121600,0.168380,1195,1516,2711,0.000101757,0.000111069,0.000106964
8,REGISTERED,3.000000,2.863068,0.136932,0.034637,0.102294,501,921,1422,0.000069136,0.000111069,0.000096295
9,CLUSTER_HEAD,3.000000,2.894708,0.105292,0.016992,0.088300,264,795,1059,0.000064365,0.000111069,0.000099426
10,UNREGISTERED,3.000000,2.765397,0.234603,0.041343,0.193260,598,1740,2338,0.000069136,0.000111069,0.000100343
11,UNREGISTERED,3.000000,2.699939,0.300061,0.033496,0.266565,483,2400,2883,0.000069350,0.000111069,0.000104079
12,UNREGISTERED,3.000000,2.699942,0.300058,0.036158,0.263899,523,2376,2899,0.000069136,0.000111069,0.000103504
13,REGISTERED,3.000000,2.699809,0.300191,0.054617,0.245573,790,2211,3001,0.000069136,0.000111069,0.000100030
14,UNREGISTERED,3.000000,2.699982,0.300018,0.015348,0.284669,222,2563,2785,0.000069136,0.000111069,0.000107726
15,REGISTERED,3.000000,2.699929,0.300071,0.046390,0.253681,671,2284,2955,0.000069136,0.000111069,0.000101547
16,CLUSTER_HEAD,3.000000,2.699981,0.300019,0.050226,0.249794,721,2249,2970,0.000069661,0.000111069,0.000101017
17,CLUSTER_HEAD,3.000000,2.699927,0.300073,0.103370,0.196703,1319,1771,3090,0.000078370,0.000111069,0.000097111
18,ROUTER,3.000000,2.811764,0.188236,0.051177,0.137059,578,1234,1812,0.000088542,0.000111069,0.000103883
19,CLUSTER_HEAD,3.000000,2.880713,0.119287,0.030765,0.088522,443,797,1240,0.000069447,0.000111069,0.000096199
20,UNREGISTERED,3.000000,2.699953,0.300047,0.057028,0.243019,584,2188,2772,0.000097651,0.000111069,0.000108242
21,UNREGISTERED,3.000000,2.699975,0.300025,0.075111,0.224914,750,2025,2775,0.000100148,0.000111069,0.000108117
22,UNREGISTERED,3.000000,2.699914,0.300086,0.021637,0.278449,305,2507,2812,0.000070941,0.000111069,0.000106716
23,UNREGISTERED,3.000000,2.699768,0.300232,0.054992,0.245240,564,2208,2772,0.000097503,0.000111069,0.000108309
24,UNREGISTERED,3.000000,2.699916,0.300084,0.009195,0.290889,133,2619,2752,0.000069136,0.000111069,0.000109042
25,REGISTERED,3.000000,2.699946,0.300054,0.047151,0.252904,682,2277,2959,0.000069136,0.000111069,0.000101404
26,REGISTERED,3.000000,2.699969,0.300031,0.037020,0.263011,529,2368,2897,0.000069982,0.000111069,0.000103566
27,ROUTER,3.000000,2.699972,0.300028,0.085665,0.214363,830,1930,2760,0.000103211,0.000111069,0.000108706
28,ROOT,3.000000,2.710906,0.289094,0.059625,0.229468,849,2066,2915,0.000070230,0.000111069,0.000099174
29,ROUTER,3.000000,2.866789,0.133211,0.053797,0.079414,523,715,1238,0.000102862,0.000111069,0.000107602
30,UNREGISTERED,3.000000,2.840538,0.159462,0.042173,0.117289,610,1056,1666,0.000069136,0.000111069,0.000095715
31,UNREGISTERED,3.000000,2.699933,0.300067,0.067822,0.232245,981,2091,3072,0.000069136,0.000111069,0.000097678
32,UNREGISTERED,3.000000,2.699936,0.300064,0.072040,0.228024,1042,2053,3095,0.000069136,0.000111069,0.000096951
33,UNREGISTERED,3.000000,2.699971,0.300029,0.054900,0.245129,601,2207,2808,0.000091348,0.000111069,0.000106848
34,UNREGISTERED,3.000000,2.724529,0.275471,0.107868,0.167603,1344,1509,2853,0.000080259,0.000111069,0.000096555
35,CLUSTER_HEAD,3.000000,2.699968,0.300032,0.099442,0.200590,981,1806,2787,0.000101368,0.000111069,0.000107654
36,REGISTERED,3.000000,2.699973,0.300027,0.053788,0.246240,778,2217,2995,0.000069136,0.000111069,0.000100176
37,ROUTER,3.000000,2.699987,0.300013,0.090981,0.209031,885,1882,2767,0.000102804,0.000111069,0.000108425
38,ROUTER,3.000000,2.704431,0.295569,0.094535,0.201035,915,1810,2725,0.000103317,0.000111069,0.000108466
39,ROUTER,3.000000,2.861029,0.138971,0.046784,0.092187,454,830,1284,0.000103049,0.000111069,0.000108233
