node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
3,5,117.014839,REGISTERED,3,1427.150236124786
3,23,103.552318,REGISTERED,11,1393.2903116163882
3,2,77.129892,REGISTERED,12,1395.8857215570051
3,12,71.210524,CLUSTER_HEAD,11,1405.8855157543303
3,13,38.174982,REGISTERED,12,1355.6283148392715
3,11,48.938071,CLUSTER_HEAD,11,485.88554655097187
3,1,75.508479,UNREGISTERED,12,395.8857571688146
3,0,110.760277,UNREGISTERED,12,395.8858671553684
3,21,111.044462,ROUTER,10,480.88556459175925
3,20,139.748501,ROUTER,10,480.88561903491654
3,22,90.927120,CLUSTER_HEAD,10,480.88554058700004
3,10,79.807418,UNREGISTERED,12,390.8857854579527
3,31,71.429143,CLUSTER_HEAD,9,470.883852824812
3,30,78.473234,UNREGISTERED,10,380.88554257697615
3,33,135.129515,ROUTER,5,490.88262229744237
3,34,72.696309,ROUTER,5,471.469245795471
3,25,97.456859,REGISTERED,3,433.2897568418124
3,43,123.657094,ROUTER,5,400.8825098050324
3,4,66.915743,UNREGISTERED,13,1422.1498117109245
3,14,77.615516,UNREGISTERED,13,522.1498331104721
3,45,101.061037,ROUTER,3,350.8823087567713
3,44,38.695584,CLUSTER_HEAD,4,354.9127256624071
3,35,126.981745,ROUTER,3,324.91204049355395
3,54,102.092921,REGISTERED,5,397.9171110097683
3,64,136.017139,ROUTER,5,297.9182358463608
3,32,94.034175,UNREGISTERED,10,380.8855283025717
3,42,86.707777,CLUSTER_HEAD,8,370.8838737273618
3,53,74.007028,REGISTERED,7,367.9181651808234
3,52,79.914115,CLUSTER_HEAD,7,377.91747993375446
3,63,130.622769,UNREGISTERED,6,307.91743661564175
3,16,94.985232,CLUSTER_HEAD,2,390.6279471285559
3,15,90.469008,REGISTERED,3,425.9530329089204
3,40,123.909257,ROUTER,10,485.8839663361792
3,7,116.537801,REGISTERED,3,546.2345649358476
3,27,77.492242,ROUTER,1,180.6275597612759
3,17,36.462365,REGISTERED,3,178.3036076033117
3,26,43.825268,REGISTERED,3,123.28957404016931
3,6,50.747430,REGISTERED,3,595.5746405024091
4,15,81.926347,REGISTERED,3,1217.1502191099419
4,5,63.852699,REGISTERED,3,1717.150182962646
4,13,99.179816,REGISTERED,12,1355.6283758441054
4,14,85.430672,UNREGISTERED,13,522.1498409256274
5,16,87.162817,CLUSTER_HEAD,2,1990.6279393061402
5,26,112.616526,UNREGISTERED,3,2030.6281081980421
5,6,50.747430,REGISTERED,3,2470.6280657297248
5,7,116.537801,REGISTERED,3,2550.6280722765932
7,8,70.459778,REGISTERED,2,3990.6283055084646
7,18,96.117447,ROUTER,1,3990.628288636675
8,27,132.779309,ROUTER,1,2580.6276150483427
8,9,39.814956,CLUSTER_HEAD,2,3990.6282450668514
8,29,121.193532,ROUTER,1,3969.3836474240074
8,19,89.927193,CLUSTER_HEAD,1,3954.3840149220987
8,18,63.944774,ROUTER,1,3990.628256464002
8,16,79.684673,CLUSTER_HEAD,2,190.62793182799697
8,5,116.537801,REGISTERED,3,220.62823016957464
8,17,51.797734,REGISTERED,3,200.62767270010534
8,28,80.482416,ROOT,0,178.30362538249918
8,48,134.636434,ROUTER,1,160.45337682891747
8,36,71.407445,REGISTERED,3,167.4329052589283
8,38,91.107145,ROUTER,1,178.30343562985985
8,26,73.805437,REGISTERED,3,123.28960402033846
8,15,69.917704,REGISTERED,3,175.57457504367954
8,6,138.646906,REGISTERED,3,3770.6281536292004
8,39,107.641168,ROUTER,1,221.9752817765789
8,35,122.345039,ROUTER,3,224.912035856848
8,37,66.368127,UNREGISTERED,1,205.52356665687773
8,49,59.858160,CLUSTER_HEAD,2,221.97517873497833
8,59,107.411462,UNREGISTERED,99999,221.9751741354111
9,29,95.291106,ROUTER,1,3969.383621521581
9,7,108.850114,REGISTERED,3,3900.6282933792936
9,19,59.466845,CLUSTER_HEAD,1,3954.38398446175
9,28,63.594902,ROOT,0,152.216995190737
9,48,123.169366,ROUTER,1,160.45336536184894
9,38,123.615550,ROUTER,1,152.21707408126153
9,27,133.821675,ROUTER,1,96.30299810604092
9,47,73.482787,CLUSTER_HEAD,2,124.07031476445752
9,39,71.001807,UNREGISTERED,1,162.2170673941742
9,18,62.457943,ROUTER,1,3990.6282549771704
9,36,71.407445,REGISTERED,3,167.4329052589283
9,17,65.708608,REGISTERED,3,178.3036368495554
9,16,77.492242,CLUSTER_HEAD,2,175.57459043952628
9,26,73.805437,REGISTERED,3,123.28960402033846
9,5,116.537801,REGISTERED,3,220.62823016957464
9,6,70.050087,UNREGISTERED,3,195.5746598050668
9,46,91.869965,CLUSTER_HEAD,2,167.52217818550517
9,57,109.245385,ROUTER,3,167.52216805317033
9,58,87.412882,CLUSTER_HEAD,4,221.97521863592078
9,59,74.922879,UNREGISTERED,99999,221.97514164682795
9,49,58.179259,CLUSTER_HEAD,2,221.9751770560774
9,37,104.267551,UNREGISTERED,1,205.52360455630225
9,35,122.345039,ROUTER,3,224.912035856848
11,22,90.927120,REGISTERED,5,1902.9403282452859
12,22,77.982289,REGISTERED,5,1902.940315300455
13,22,88.447045,CLUSTER_HEAD,10,1280.8855381069252
13,33,135.129515,ROUTER,5,1290.8826222974421
13,5,137.020303,REGISTERED,3,1355.6283783574747
13,23,71.932637,REGISTERED,11,1293.2902799967073
13,2,72.304289,REGISTERED,12,1295.8857167314027
13,12,52.759237,CLUSTER_HEAD,11,1305.8854973030434
13,21,135.375792,ROUTER,10,1280.8855889230895
13,34,72.696309,ROUTER,5,471.469245795471
13,25,97.456859,REGISTERED,3,433.2897568418124
13,43,123.657094,ROUTER,5,400.8825098050324
13,45,101.061037,ROUTER,3,350.8823087567713
13,44,38.695584,CLUSTER_HEAD,4,354.9127256624071
13,35,126.981745,ROUTER,3,324.91204049355395
13,54,102.092921,REGISTERED,5,397.9171110097683
13,64,136.017139,ROUTER,5,297.9182358463608
13,32,94.034175,UNREGISTERED,10,380.8855283025717
13,42,86.707777,CLUSTER_HEAD,8,370.8838737273618
13,53,74.007028,REGISTERED,7,367.9181651808234
13,52,79.914115,CLUSTER_HEAD,7,377.91747993375446
