node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,36.478851,110.760277,186.463912,243.502668,302.226563,350.076773,418.648965,488.534007,527.485812,53.948723,86.260730,130.036716,181.565119,253.695381,304.778416,373.132414,405.311685,501.396845,557.250423,121.998925,130.758320,174.860554,234.680044,277.557831,325.721553,370.360923,442.838528,523.113039,567.937047,178.929723,202.173926,242.611615,269.804710,306.485574,389.022231,417.555773,458.813213,516.237403,584.581080,243.507745,248.124402,286.990227,326.973229,341.068763,397.182554,460.287768,496.657758,562.599006,619.815277,296.509125,315.640453,342.582021,374.010192,428.796978,446.870830,500.331064,528.854139,585.603077,626.784243,369.060349,368.080620,396.145861,430.287935,458.929571,500.944191,524.740283,578.925072,614.525070,687.609079,410.786506,427.127344,472.955538,472.803882,520.892917,534.546895,583.978813,623.455708,677.547174,711.793486,492.924013,512.225688,528.460111,538.994299,570.276730,585.221443,640.227593,677.376983,708.522071,769.545339,568.024159,545.969347,569.625309,589.507846,598.173476,655.875567,692.037338,727.413682,752.085265,814.810589
1,36.478851,0.000000,75.508479,150.263455,207.085156,265.779219,313.601358,382.182009,452.055563,491.015425,71.103461,61.349145,97.305253,147.343758,218.981826,268.742893,337.380945,369.258960,465.255911,521.032822,124.788659,120.755704,152.241176,204.528414,244.333231,292.903183,335.778388,407.833322,487.964184,532.077793,182.352886,190.111675,224.952688,245.320273,277.028661,358.202479,384.679320,425.707417,482.642808,549.819409,241.648572,236.267933,272.479947,304.158060,315.166857,368.773371,429.328164,464.219806,529.140922,586.078513,296.442360,305.817802,327.160508,356.092796,405.102011,421.464521,472.275795,499.049855,554.706782,594.348805,368.562405,360.718086,383.092436,413.821807,438.281296,476.009749,498.568994,550.578721,584.660474,656.359259,409.113244,420.851514,461.641298,456.686498,501.564760,511.715901,560.062960,597.805826,649.472183,682.677687,490.640344,506.300789,518.682911,524.434323,552.860102,563.843642,616.658792,651.855459,681.733961,742.022818,565.154610,540.016247,559.137167,574.942777,581.983006,636.384922,669.625191,704.083006,727.206627,787.545158
2,110.760277,75.508479,0.000000,77.129892,139.765192,194.109665,243.426120,310.567167,380.882352,419.318022,122.945853,48.938071,28.672486,72.304289,143.498047,194.410727,262.416059,294.900449,391.119864,447.151795,139.748501,111.044462,104.648278,135.324906,169.877290,218.722103,260.298888,332.341200,412.512413,457.261558,188.677935,162.772383,181.933070,186.394498,207.802000,286.262342,310.251587,351.030101,407.567843,474.311046,231.495648,205.217532,233.587914,246.894249,251.741848,300.387921,356.956972,390.109655,454.136102,510.886954,286.737186,275.320313,284.252630,307.355898,344.496544,357.671882,403.848041,428.006485,482.159963,520.127347,355.150627,333.370394,343.506019,366.809420,382.892000,412.607814,432.980194,481.436021,513.348799,583.289001,392.141541,394.161565,424.000020,409.682834,447.944929,451.691820,497.879722,532.615592,580.472089,612.184867,470.730343,478.745358,483.248125,479.585123,502.318962,506.020084,554.786172,586.684356,614.539150,673.632217,542.956202,511.924279,521.808322,529.574663,533.485220,581.471436,609.471518,642.270616,662.831112,719.446445
3,186.463912,150.263455,77.129892,0.000000,66.915743,117.014839,166.643261,233.438997,303.769754,342.190502,199.094344,120.881577,71.210524,38.174982,77.615516,118.617721,187.832171,219.060006,314.993941,370.789827,203.389386,165.488813,125.436036,103.552318,111.905414,159.373458,191.014390,260.581714,339.906790,382.107992,242.737949,192.968140,191.064612,169.907056,165.927437,232.624572,247.401151,286.525611,340.596729,402.889030,269.723510,225.766556,241.990937,227.205807,220.143617,255.562875,300.421097,327.519662,387.282812,442.765588,321.730773,290.336693,283.536515,297.198485,313.723988,320.591881,356.227655,373.945845,423.619206,456.207038,383.594589,348.596448,343.897076,356.391957,359.524916,374.826690,390.646427,431.097326,457.719772,522.637904,415.809646,407.660147,423.855143,397.807044,425.508818,419.007394,460.676882,489.545377,529.463714,557.732859,489.209955,488.874459,484.209936,468.778345,483.211522,475.914955,517.318283,543.060528,566.873900,623.212705,557.528687,520.718545,519.652611,517.053313,516.658743,554.700091,574.215984,603.961249,619.964051,669.338638
4,243.502668,207.085156,139.765192,66.915743,0.000000,63.852699,107.227744,176.901832,245.846984,285.227145,262.692688,186.316139,137.920633,99.179816,85.430672,81.926347,148.885875,173.481238,265.821697,319.868268,270.303856,232.092742,187.086807,142.944558,121.162292,157.163585,166.543091,226.171161,301.173327,335.666409,308.773434,254.077320,244.043536,210.013297,185.084016,231.202141,231.285299,265.662287,313.544379,365.763952,331.656987,282.229167,292.133978,260.295370,243.836658,263.399676,291.241740,308.301488,359.334640,411.564142,381.812805,342.257452,326.847421,333.733911,332.908270,333.420199,356.310884,365.530309,407.924875,431.903124,440.192766,399.274544,386.024963,390.793532,383.631632,385.059744,395.644780,425.924321,445.316419,502.297976,469.760727,456.346003,463.878356,430.064179,448.670833,433.077293,469.379727,491.545220,521.712167,545.319187,539.624553,534.459868,523.997931,500.415522,508.025530,491.206065,524.727580,543.595524,562.550283,615.003148,605.059745,565.111993,556.821159,546.609465,542.800404,571.771162,583.008292,609.308216,620.339028,661.043540
5,302.226563,265.779219,194.109665,117.014839,63.852699,0.000000,50.747430,116.537801,186.776692,225.376337,315.834480,236.838413,185.643711,137.020303,84.503679,32.707456,87.162817,109.671116,202.376673,256.963050,313.116158,271.617785,215.973435,151.209589,106.216940,123.156690,112.616526,164.596250,237.861407,271.922644,344.041239,278.718620,256.956630,210.280553,167.074160,190.547337,179.555564,209.857049,253.842931,302.575480,355.616470,298.269191,299.079511,249.475675,224.721306,228.649328,242.156973,252.552349,298.867787,349.706082,401.178808,349.829630,324.104144,323.155773,305.206826,300.080632,312.155847,315.293659,352.774689,372.428287,452.563538,403.720329,380.115011,376.221318,358.981136,348.152344,354.362243,376.893971,391.628747,444.154913,477.573246,457.029909,453.888238,412.350254,421.714171,398.378891,429.739661,446.617909,470.094175,490.876555,541.433993,530.011535,512.798752,480.811746,481.645545,456.604010,483.405147,497.128329,512.738340,562.523674,602.294666,558.815182,542.276473,524.278499,517.207829,537.701284,542.166806,565.693948,573.184705,608.293038
6,350.076773,313.601358,243.426120,166.643261,107.227744,50.747430,0.000000,70.050087,138.646906,178.001637,365.732667,287.079215,236.091377,187.767112,131.726814,68.986387,76.807696,81.419485,162.911229,214.827834,363.842412,322.225181,265.559488,197.236924,146.324955,149.287267,116.788225,145.711077,208.902187,233.960457,394.074919,326.999396,302.108082,251.559875,200.849663,204.821278,180.632158,202.453652,236.738785,273.279079,403.264290,343.971403,341.433520,284.177218,255.150260,246.804294,243.916534,243.633450,278.863247,325.039827,447.228586,391.858806,361.651884,356.408770,326.992821,317.193914,317.961660,313.345228,342.628645,353.707039,495.797544,443.869176,415.227984,406.175571,382.085304,360.854269,362.471420,375.413152,383.269845,427.465212,518.734999,494.924257,485.838613,439.728418,442.061368,412.327445,438.396137,449.260448,463.897424,480.259249,579.366481,564.640277,543.502686,506.115094,501.774203,469.874509,489.667381,497.402896,508.629621,554.332366,637.469239,592.198442,570.586327,547.180901,537.634707,550.663834,548.396137,568.714176,571.995878,599.421195
7,418.648965,382.182009,310.567167,233.438997,176.901832,116.537801,70.050087,0.000000,70.459778,108.850114,431.792035,352.398394,300.871300,250.343227,186.086271,121.923615,79.684673,51.797734,96.117447,145.454032,424.613408,381.823338,321.066393,246.215151,189.483146,174.387676,121.249319,109.630304,152.161935,167.116433,450.054937,377.915413,346.358761,290.170884,230.692805,207.468612,167.950837,175.371049,193.715498,214.005411,451.676960,388.597098,379.462861,310.941487,276.764592,251.387116,225.986232,211.137550,230.203854,269.683640,491.343158,428.357378,390.733757,378.563178,332.712934,316.582818,301.534501,286.614933,304.187141,304.512671,533.354399,476.066186,439.096984,421.893735,387.967760,352.398130,347.579373,347.216462,346.010135,379.304491,551.949024,522.356219,503.288221,450.727399,442.429969,404.166495,422.256005,424.775925,427.758535,438.465452,605.957072,585.559550,558.129827,512.755153,500.712451,459.508915,469.282658,468.966082,474.430051,514.553096,658.643566,610.713879,581.042634,549.575366,536.465386,538.560523,527.079705,542.880082,540.688527,558.390311
8,488.534007,452.055563,380.882352,303.769754,245.846984,186.776692,138.646906,70.459778,0.000000,39.814956,502.245014,422.857176,371.322503,320.657919,255.230552,191.729770,139.908549,104.309845,63.944774,89.927193,494.376837,451.352946,389.575254,313.086120,255.326854,233.346866,174.577394,132.779309,134.015897,121.193532,518.294234,444.445294,410.153128,351.973649,289.525653,250.771367,203.014039,195.889239,192.571197,183.621480,516.709924,452.198530,439.719777,365.824238,329.413151,293.460281,250.636654,221.633690,217.294361,243.243823,554.002784,487.234615,445.581396,429.103139,372.409139,351.725576,323.063998,298.223310,301.013218,286.407410,592.027870,531.871088,489.839411,467.100504,426.287430,379.446287,368.724689,354.461433,342.555431,360.084511,607.784632,574.596469,548.589351,491.846502,474.966873,429.971353,439.934328,433.710855,423.200111,426.492974,656.933717,632.593579,600.639481,549.400420,530.947605,481.968655,481.549453,472.507498,471.170582,503.689740,705.297020,655.722302,619.980849,582.118928,566.060125,557.931804,537.289537,547.966911,539.639265,545.264021
9,527.485812,491.015425,419.318022,342.190502,285.227145,225.376337,178.001637,108.850114,39.814956,0.000000,540.157513,460.584327,408.961548,357.778322,290.797939,228.330408,171.616736,135.178467,62.457943,59.466845,530.256952,486.936244,424.051228,346.304090,288.110789,261.981008,201.671044,148.292105,126.150125,95.291106,552.245947,476.894943,440.483984,381.161166,317.297603,270.244621,219.666250,205.196257,190.024192,163.952803,547.688625,482.216523,467.321463,390.326558,352.899834,311.305090,259.884489,224.166559,206.589942,223.602125,582.975827,513.645911,469.472584,450.338844,387.645497,364.602732,328.697831,298.823419,293.180691,270.424278,617.918630,555.966256,510.798419,484.728472,440.103660,387.258098,373.323575,351.420406,333.691990,342.109339,631.621394,596.117305,565.761755,506.788362,484.904058,436.426463,441.607654,430.486860,412.529599,411.678729,677.311962,650.481036,615.799561,561.241373,539.083180,485.961897,479.709040,465.830566,460.712517,488.765469,722.680800,672.222659,632.835668,591.296238,573.580417,559.535336,533.809418,541.521198,529.834325,528.815428
10,53.948723,71.103461,122.945853,199.094344,262.692688,315.834480,365.732667,431.792035,502.245014,540.157513,0.000000,79.807418,131.437815,183.720807,255.062218,312.789649,377.992157,412.211399,508.414326,564.803269,71.734993,92.488401,150.658128,222.356432,272.613112,318.425620,368.936624,442.624159,523.041319,572.095326,126.757362,161.815973,207.790240,244.680446,290.483326,375.007031,409.162830,450.775990,509.466342,582.217201,193.361079,206.231147,247.246110,297.804210,317.011302,377.359552,445.869527,486.149955,555.038557,612.976748,244.970091,270.702339,303.073196,337.164808,399.749274,420.599571,478.761347,510.996927,570.131181,615.481873,317.418609,320.648569,353.551897,391.153073,424.967255,473.398803,499.264531,557.464514,596.313613,672.604123,359.578217,378.596515,428.229503,432.976912,484.722750,503.314349,554.211452,596.480306,655.046510,691.424375,441.818218,463.172700,482.189369,497.129426,531.469964,551.544928,609.641345,649.946214,683.321826,745.588787,517.078762,496.850019,523.815076,547.454565,557.839861,619.328077,659.460571,696.136795,723.276074,790.211379
11,86.260730,61.349145,48.938071,120.881577,186.316139,236.838413,287.079215,352.398394,422.857176,460.584327,79.807418,0.000000,51.663190,103.966916,175.661847,233.003222,298.330149,332.427342,428.655175,485.030398,91.664010,69.269441,90.927120,149.072162,195.239677,242.370590,290.568159,364.030471,444.510076,492.670888,143.474238,132.853457,164.171196,184.661798,220.410815,303.451308,333.945988,375.440294,433.556439,504.491033,193.117694,178.414823,212.756748,243.041829,255.298484,310.922010,374.722902,412.320856,479.592435,537.218244,248.719641,248.728473,266.838846,294.995532,344.284649,361.378586,414.089516,442.756028,499.918451,542.297393,319.322239,305.089318,323.660939,353.011741,376.941206,415.712228,438.950543,492.669577,528.422407,602.085429,358.266239,365.733661,402.919337,395.932385,440.235695,450.693715,499.376130,537.907255,591.316367,625.551603,438.675902,451.094776,460.727911,464.120368,491.747645,502.574935,555.868931,591.898509,622.559009,683.404423,512.331382,484.677054,500.682869,514.582879,521.125651,575.040831,608.540051,643.236026,666.944752,728.729533
