time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
47.938623654959066,NETWORK_REQUEST,"[0,1]",48,"[0,254]","[0,254]",,DIRECT
47.938706969864924,NETWORK_REPLY,"[0,254]",28,"[0,1]","[0,1]",,DIRECT
79.38371681268688,NETWORK_REQUEST,"[0,2]",29,"[0,254]","[0,254]",,DIRECT
79.38378040758846,NETWORK_REPLY,"[0,254]",28,"[0,2]","[0,2]",,DIRECT
87.93847668938433,SENSOR_DATA,"[0,1]",48,"[0,254]","[0,254]",,DIRECT
90.6276136862502,NETWORK_REQUEST,"[0,3]",27,"[0,254]","[0,254]",,DIRECT
90.6276372535183,NETWORK_REQUEST,"[0,3]",27,"[0,254]","[0,254]",,DIRECT
90.62769416866584,NETWORK_REPLY,"[0,254]",28,"[0,3]","[0,3]",,DIRECT
90.62771773593394,NETWORK_REPLY,"[0,254]",28,"[0,3]","[0,3]",,DIRECT
97.93886376755815,SENSOR_DATA,"[1,1]",47,"[0,3]","[0,3]",,DIRECT
104.91182367555368,NETWORK_REQUEST,"[1,2]",36,"[1,254]","[0,254]",,TREE
104.911903888846,NETWORK_REQUEST,"[1,2]",47,"[0,1]","[0,254]",,TREE
104.91197737163336,NETWORK_REQUEST,"[1,2]",48,"[0,254]","[0,254]",,DIRECT
104.9120606865392,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[1,2]",,UNKNOWN
114.91186044444228,NETWORK_REQUEST,"[3,3]",26,"[3,254]","[0,254]",,TREE
114.91190426970988,NETWORK_REQUEST,"[3,3]",16,"[0,3]","[0,254]",,TREE
114.91198176195229,NETWORK_REQUEST,"[3,3]",27,"[0,254]","[0,254]",,DIRECT
114.91206224436793,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,3]",,UNKNOWN
116.44274239118663,NETWORK_REQUEST,"[0,4]",38,"[0,254]","[0,254]",,DIRECT
116.44280764697154,NETWORK_REPLY,"[0,254]",28,"[0,4]","[0,4]",,DIRECT
117.43283385148358,SENSOR_DATA,"[1,2]",36,"[1,254]","[0,3]",,TREE
117.4329140647759,SENSOR_DATA,"[1,2]",47,"[0,3]","[0,3]",,DIRECT
117.96256520934243,NETWORK_REQUEST,"[3,3]",26,"[3,254]","[0,254]",,TREE
117.96260903461003,NETWORK_REQUEST,"[3,3]",16,"[0,3]","[0,254]",,TREE
117.96268652685244,NETWORK_REQUEST,"[3,3]",27,"[0,254]","[0,254]",,DIRECT
119.38352623047513,SENSOR_DATA,"[0,2]",29,"[2,1]","[2,1]",,DIRECT
128.30334452271475,SENSOR_DATA,"[0,4]",38,"[6,1]","[6,1]",,DIRECT
130.6274822690335,SENSOR_DATA,"[0,3]",27,"[3,2]","[3,2]",,DIRECT
130.62825941082014,NETWORK_REQUEST,"[3,5]",15,"[3,254]","[0,254]",,TREE
130.62832932852453,NETWORK_REQUEST,"[3,5]",16,"[0,3]","[0,254]",,TREE
130.62840682076694,NETWORK_REQUEST,"[3,5]",27,"[0,254]","[0,254]",,DIRECT
130.62848730318257,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,5]",,UNKNOWN
134.38331386978413,NETWORK_REQUEST,"[6,3]",57,"[6,254]","[0,254]",,TREE
134.3833882485634,NETWORK_REQUEST,"[6,3]",46,"[6,254]","[0,254]",,TREE
134.9120901325829,NETWORK_REQUEST,"[6,2]",35,"[6,254]","[0,254]",,TREE
134.9121614088893,NETWORK_REQUEST,"[6,2]",46,"[6,254]","[0,254]",,TREE
137.93847668938432,SENSOR_DATA,"[0,1]",48,"[0,254]","[0,3]",,TREE
137.93856000429017,SENSOR_DATA,"[0,1]",28,"[0,3]","[0,3]",,DIRECT
140.62784035968983,SENSOR_DATA,"[3,1]",17,"[3,2]","[3,2]",,DIRECT
140.6278521433239,SENSOR_DATA,"[3,2]",16,"[3,4]","[3,4]",,DIRECT
140.62824133717208,NETWORK_REQUEST,"[3,4]",5,"[3,254]","[0,254]",,TREE
140.62832849998873,NETWORK_REQUEST,"[3,4]",16,"[0,3]","[0,254]",,TREE
140.62840599223114,NETWORK_REQUEST,"[3,4]",27,"[0,254]","[0,254]",,DIRECT
140.62848647464676,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,4]",,UNKNOWN
142.14776805496538,NETWORK_REQUEST,"[3,4]",5,"[3,254]","[0,254]",,TREE
142.14785521778202,NETWORK_REQUEST,"[3,4]",16,"[0,3]","[0,254]",,TREE
143.28985429867117,NETWORK_REQUEST,"[3,6]",25,"[3,254]","[0,254]",,TREE
143.28994928390327,NETWORK_REQUEST,"[3,6]",16,"[0,3]","[0,254]",,TREE
143.29002677614568,NETWORK_REQUEST,"[3,6]",27,"[0,254]","[0,254]",,DIRECT
143.2901072585613,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,6]",,UNKNOWN
144.0704373298991,NETWORK_REQUEST,"[6,3]",57,"[6,254]","[0,254]",,TREE
144.07051170867837,NETWORK_REQUEST,"[6,3]",46,"[6,254]","[0,254]",,TREE
144.38331386978413,NETWORK_REQUEST,"[6,3]",57,"[6,254]","[0,254]",,TREE
144.3833882485634,NETWORK_REQUEST,"[6,3]",46,"[6,254]","[0,254]",,TREE
144.9120901325829,NETWORK_REQUEST,"[6,2]",35,"[6,254]","[0,254]",,TREE
144.9121614088893,NETWORK_REQUEST,"[6,2]",46,"[6,254]","[0,254]",,TREE
147.93886376755816,SENSOR_DATA,"[1,1]",47,"[0,1]","[0,1]",,DIRECT
150.62762090237115,SENSOR_DATA,"[3,1]",17,"[3,3]","[3,3]",,DIRECT
150.62824133717208,NETWORK_REQUEST,"[3,4]",5,"[3,254]","[0,254]",,TREE
150.62832849998873,NETWORK_REQUEST,"[3,4]",16,"[0,3]","[0,254]",,TREE
150.62840599223114,NETWORK_REQUEST,"[3,4]",27,"[0,254]","[0,254]",,DIRECT
150.62848647464676,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,4]",,UNKNOWN
152.14776805496538,NETWORK_REQUEST,"[3,4]",5,"[3,254]","[0,254]",,TREE
152.14785521778202,NETWORK_REQUEST,"[3,4]",16,"[0,3]","[0,254]",,TREE
152.14793271002443,NETWORK_REQUEST,"[3,4]",27,"[0,254]","[0,254]",,DIRECT
152.14801319244006,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,4]",,UNKNOWN
153.28985429867117,NETWORK_REQUEST,"[3,6]",25,"[3,254]","[0,254]",,TREE
153.28994928390327,NETWORK_REQUEST,"[3,6]",16,"[0,3]","[0,254]",,TREE
153.29002677614568,NETWORK_REQUEST,"[3,6]",27,"[0,254]","[0,254]",,DIRECT
153.2901072585613,NETWORK_REPLY,"[0,254]",28,UNKNOWN,"[3,6]",,UNKNOWN
154.0704373298991,NETWORK_REQUEST,"[6,3]",57,"[1,1]","[0,254]",,MESH
154.0705142071663,NETWORK_REQUEST,"[6,3]",47,"[0,1]","[0,254]",,MESH
154.07058768995367,NETWORK_REQUEST,"[6,3]",48,"[0,254]","[0,254]",,DIRECT
154.07067100485952,NETWORK_REPLY,"[0,254]",28,"[0,4]","[6,3]",,TREE
154.38331386978413,NETWORK_REQUEST,"[6,3]",57,"[1,1]","[0,254]",,MESH
154.38339074705132,NETWORK_REQUEST,"[6,3]",47,"[0,1]","[0,254]",,MESH
154.3834642298387,NETWORK_REQUEST,"[6,3]",48,"[0,254]","[0,254]",,DIRECT
154.9120901325829,NETWORK_REQUEST,"[6,2]",35,"[6,254]","[0,254]",,TREE
154.9121614088893,NETWORK_REQUEST,"[6,2]",46,"[1,1]","[0,254]",,MESH
154.91221345668703,NETWORK_REQUEST,"[6,2]",47,"[0,1]","[0,254]",,MESH
154.9122869394744,NETWORK_REQUEST,"[6,2]",48,"[0,254]","[0,254]",,DIRECT
154.91237025438025,NETWORK_REPLY,"[0,254]",28,"[0,4]","[6,2]",,TREE
154.91243551016515,NETWORK_REPLY,"[0,254]",38,"[6,1]","[6,2]",,TREE
