time,avg_power_j,min_power_j,max_power_j,alive_nodes,dead_nodes
0.1,3.000000,3.000000,3.000000,100,0
50.1,2.999584,2.996090,3.000000,100,0
100.1,2.997827,2.988066,3.000000,100,0
150.1,2.993752,2.979600,3.000000,100,0
200.1,2.987894,2.969109,2.999640,100,0
250.1,2.984219,2.964099,2.998850,100,0
300.1,2.979820,2.954701,2.997588,100,0
350.1,2.975504,2.945276,2.997186,100,0
400.1,2.971126,2.935044,2.996201,100,0
450.1,2.969151,2.929583,2.995495,100,0
500.1,2.966043,2.918949,2.994648,100,0
550.1,2.963045,2.908151,2.993942,100,0
600.1,2.959752,2.898529,2.992984,100,0
650.1,2.954696,2.891447,2.992278,100,0
700.1,2.948588,2.879953,2.991543,100,0
750.1,2.942556,2.868075,2.990837,100,0
800.1,2.935952,2.836851,2.989990,100,0
850.1,2.929842,2.804258,2.989284,100,0
900.1,2.923122,2.772998,2.988549,100,0
950.1,2.917003,2.738628,2.987842,100,0
1000.1,2.910467,2.705924,2.986996,100,0
1050.1,2.908427,2.700693,2.986110,99,1
1100.1,2.906488,2.721181,2.985152,98,2
1150.1,2.903052,2.711861,2.984446,98,2
1200.1,2.899114,2.703550,2.983599,98,2
1250.1,2.898063,2.712579,2.982782,97,3
1300.1,2.894413,2.708181,2.981713,97,3
1350.1,2.893180,2.701239,2.980896,96,4
1400.1,2.891682,2.705454,2.980049,95,5
1450.1,2.890994,2.719582,2.979232,94,6
1500.1,2.887611,2.716131,2.978497,94,6
1550.1,2.885092,2.712599,2.977791,94,6
1600.1,2.881774,2.709036,2.977055,94,6
1650.1,2.879116,2.704837,2.976127,94,6
1700.1,2.875735,2.701275,2.975440,94,6
1750.1,2.875239,2.710912,2.975094,93,7
1800.1,2.872016,2.705573,2.974470,93,7
1850.1,2.870043,2.708275,2.973208,92,8
1900.1,2.863199,2.701048,2.969185,92,8
1950.1,2.859664,2.703212,2.967598,91,9
2000.1,2.853974,2.701017,2.965901,90,10
2050.1,2.848234,2.703825,2.964838,89,11
2100.1,2.843292,2.708700,2.962761,87,13
2150.1,2.834257,2.700567,2.962364,87,13
2200.1,2.829726,2.700157,2.960397,84,16
2250.1,2.824053,2.702923,2.960001,82,18
2300.1,2.818249,2.704714,2.958478,80,20
2350.1,2.811081,2.700039,2.957749,79,21
2400.1,2.806041,2.705700,2.956226,77,23
2450.1,2.799811,2.704150,2.955608,76,24
2500.1,2.794730,2.702408,2.953752,74,26
2550.1,2.790233,2.700817,2.953133,72,28
2600.1,2.786903,2.701849,2.951389,69,31
2650.1,2.784543,2.700538,2.950770,66,34
2700.1,2.788901,2.703572,2.949248,59,41
2750.1,2.788641,2.701189,2.948518,56,44
2800.1,2.789148,2.701341,2.946996,53,47
2850.1,2.794428,2.700017,2.946488,48,52
2900.1,2.799525,2.707185,2.944855,44,56
2950.1,2.796570,2.703033,2.944236,44,56
3000.1,2.795645,2.702026,2.942491,43,57
3050.1,2.795167,2.702769,2.941984,42,58
3100.1,2.794533,2.702765,2.940350,41,59
3150.1,2.792037,2.700619,2.939732,41,59
3200.1,2.791542,2.706881,2.938320,40,60
3250.1,2.789040,2.703080,2.937591,40,60
3300.1,2.788435,2.702735,2.935957,39,61
3350.1,2.788426,2.708506,2.935227,38,62
3400.1,2.785927,2.706360,2.933705,38,62
3450.1,2.783691,2.704325,2.932864,38,62
3500.1,2.781227,2.700501,2.931786,38,62
3550.1,2.783837,2.700033,2.931168,36,64
3600.1,2.786773,2.701142,2.929867,34,66
3650.1,2.787744,2.703721,2.929249,33,67
3700.1,2.785832,2.701919,2.927726,33,67
3750.1,2.784240,2.700117,2.927219,33,67
3800.1,2.784887,2.706167,2.925585,32,68
3850.1,2.783379,2.702910,2.924966,32,68
3900.1,2.784054,2.701837,2.923111,31,69
3950.1,2.783843,2.707038,2.914864,30,70
