Node ID,Position,Role
0,"(291.5619369558811, 209.5204548576544)",Roles.UNREGISTERED
1,"(295.85655259373215, 245.74562341121867)",Roles.UNREGISTERED
2,"(327.63048371397, 314.24341724495207)",Roles.UNREGISTERED
3,"(333.87426587131847, 391.1201718632155)",Roles.ROUTER
4,"(307.2619990032427, 452.5164574641317)",Roles.UNREGISTERED
5,"(338.8107009531924, 508.0308393379566)",Roles.UNREGISTERED
6,"(328.25696451586964, 557.6687308369593)",Roles.UNREGISTERED
7,"(350.97751018340966, 623.9317788543947)",Roles.UNREGISTERED
8,"(351.2788985186764, 694.3909125998744)",Roles.REGISTERED
9,"(364.53508930054176, 731.9342763435459)",Roles.CLUSTER_HEAD
10,"(342.6613813650221, 192.21983400226014)",Roles.UNREGISTERED
11,"(351.52240537896694, 271.5338065973625)",Roles.UNREGISTERED
12,"(354.90534590376825, 323.08611869185336)",Roles.UNREGISTERED
13,"(368.0815849282394, 374.1735322186441)",Roles.REGISTERED
14,"(392.0969823244936, 442.4454452517125)",Roles.UNREGISTERED
15,"(371.2304372267655, 503.7020538484086)",Roles.REGISTERED
16,"(404.7057604321767, 565.0851795603047)",Roles.CLUSTER_HEAD
17,"(397.31897714936576, 600.7914740797578)",Roles.CLUSTER_HEAD
18,"(415.2152199245486, 695.4305920647873)",Roles.ROUTER
19,"(420.65166288920443, 751.6125838746536)",Roles.CLUSTER_HEAD
20,"(413.4330144390118, 203.93671176161033)",Roles.UNREGISTERED
21,"(416.5949674405047, 247.78897271311587)",Roles.UNREGISTERED
22,"(432.2747626335922, 313.3285184316786)",Roles.UNREGISTERED
23,"(437.4018566668148, 393.3830143911747)",Roles.UNREGISTERED
24,"(428.41473063038603, 450.99439250019543)",Roles.UNREGISTERED
25,"(460.3441156452542, 488.10097503729304)",Roles.REGISTERED
26,"(444.539402893387, 546.811290855528)",Roles.REGISTERED
27,"(460.49100400741145, 618.8722991346012)",Roles.ROUTER
28,"(485.2907001554062, 695.4385730227391)",Roles.ROOT
29,"(457.5446350923578, 752.6615350135122)",Roles.ROUTER
30,"(469.394384500135, 189.73494573615838)",Roles.UNREGISTERED
31,"(484.3705086152549, 270.3411013850045)",Roles.UNREGISTERED
32,"(509.5550037316054, 316.0071616855269)",Roles.UNREGISTERED
33,"(503.1839035116459, 376.884504170428)",Roles.UNREGISTERED
34,"(492.0100377236703, 441.3694702692136)",Roles.UNREGISTERED
35,"(529.1182363150292, 517.587494480036)",Roles.CLUSTER_HEAD
36,"(508.6882938726371, 566.1841182158227)",Roles.REGISTERED
37,"(525.2529820912606, 604.3597381939946)",Roles.ROUTER
38,"(541.017992423013, 661.485865307218)",Roles.ROUTER
39,"(528.0330352937146, 744.138504179125)",Roles.ROUTER
40,"(535.0618806154063, 211.46963435618068)",Roles.UNREGISTERED
41,"(529.7844324572759, 278.9161424438454)",Roles.UNREGISTERED
42,"(561.1343825739035, 307.9790101005364)",Roles.UNREGISTERED
43,"(561.0520778775788, 394.6867482376623)",Roles.UNREGISTERED
44,"(550.220031916047, 431.83530090822114)",Roles.UNREGISTERED
45,"(567.1199852853991, 495.5654563424833)",Roles.UNREGISTERED
46,"(571.5680419281213, 574.8441609446105)",Roles.CLUSTER_HEAD
47,"(562.1046898886489, 626.0244131722671)",Roles.CLUSTER_HEAD
48,"(568.5194441654029, 699.2266738330391)",Roles.ROUTER
49,"(587.0067249241018, 754.3904898374677)",Roles.CLUSTER_HEAD
50,"(587.6289376090223, 193.33428583315245)",Roles.UNREGISTERED
51,"(600.21843224639, 275.55123087935056)",Roles.UNREGISTERED
52,"(611.2935683857596, 332.54128680024314)",Roles.UNREGISTERED
53,"(630.195361301276, 368.30026444505813)",Roles.UNREGISTERED
54,"(640.1012563089957, 459.29473538475725)",Roles.UNREGISTERED
55,"(638.4227175132008, 491.26703903741037)",Roles.UNREGISTERED
56,"(646.182325932522, 562.4730765097071)",Roles.UNREGISTERED
57,"(637.2418873975372, 609.7604726539377)",Roles.REGISTERED
58,"(651.4210705538392, 671.5078658420651)",Roles.REGISTERED
59,"(634.9524458820065, 733.8690469554643)",Roles.CLUSTER_HEAD
60,"(660.0662813891029, 189.26978743764067)",Roles.UNREGISTERED
61,"(656.3418222338707, 258.7035623421697)",Roles.UNREGISTERED
62,"(671.0171507024664, 323.29779916709276)",Roles.UNREGISTERED
63,"(689.7806347513102, 372.52221966944103)",Roles.UNREGISTERED
64,"(690.5503302410806, 436.29041186857046)",Roles.UNREGISTERED
65,"(686.8408673567124, 517.2535366320066)",Roles.UNREGISTERED
66,"(690.6519420544506, 550.2249199334926)",Roles.UNREGISTERED
67,"(698.186153610932, 621.6017394213059)",Roles.UNREGISTERED
68,"(693.2609039544557, 674.5785179112492)",Roles.UNREGISTERED
69,"(705.6121168487435, 758.4910320884446)",Roles.UNREGISTERED
70,"(702.1908262700006, 198.14200515222348)",Roles.UNREGISTERED
71,"(716.6759727415872, 250.94296653816124)",Roles.UNREGISTERED
72,"(751.6003479241535, 319.30023862523433)",Roles.UNREGISTERED
73,"(731.5878279831471, 382.49654068915254)",Roles.UNREGISTERED
74,"(755.8796785692168, 445.6104081187014)",Roles.UNREGISTERED
75,"(737.1761913606858, 504.76326799236557)",Roles.UNREGISTERED
76,"(766.571715956094, 549.2217408611363)",Roles.UNREGISTERED
77,"(775.233182085085, 602.9148452382897)",Roles.UNREGISTERED
78,"(774.3720717014963, 684.8777379633177)",Roles.UNREGISTERED
79,"(776.2123382000573, 730.8303005200686)",Roles.UNREGISTERED
80,"(784.402711469675, 200.46210071096968)",Roles.UNREGISTERED
81,"(802.1335728402861, 250.6514634607074)",Roles.UNREGISTERED
82,"(810.8334707244953, 307.63856092581693)",Roles.UNREGISTERED
83,"(802.5438083758114, 381.0208388180642)",Roles.UNREGISTERED
84,"(815.0132872055844, 435.82607291950023)",Roles.UNREGISTERED
85,"(795.4139680009631, 507.2069817036394)",Roles.UNREGISTERED
86,"(817.6385273414653, 574.396861016655)",Roles.UNREGISTERED
87,"(819.846049542384, 633.4962477238308)",Roles.UNREGISTERED
88,"(822.1986363802199, 679.0182915598746)",Roles.UNREGISTERED
89,"(853.2874824172644, 735.5094661183408)",Roles.UNREGISTERED
90,"(859.5713681779197, 205.4301245593484)",Roles.UNREGISTERED
91,"(835.8293453137186, 252.59616171266063)",Roles.UNREGISTERED
92,"(849.3244719150982, 325.16623812524983)",Roles.UNREGISTERED
93,"(850.9075524862798, 395.6708857623599)",Roles.UNREGISTERED
94,"(849.3888913215, 425.4847942059951)",Roles.UNREGISTERED
95,"(876.5088166912954, 506.1850915420306)",Roles.UNREGISTERED
96,"(876.2063713733834, 579.7994876101699)",Roles.UNREGISTERED
97,"(893.8190497437943, 617.4628963592105)",Roles.UNREGISTERED
