clusterhead_1,clusterhead_2,distance
0,1,69.475919
0,2,104.356328
0,4,247.489418
0,15,326.925055
0,16,367.832232
0,19,544.036979
0,23,216.787259
0,31,217.701328
0,35,363.267274
0,36,421.024357
0,37,476.213644
0,38,532.772666
0,49,611.488801
0,51,317.399984
0,53,369.008153
0,54,426.602953
0,58,587.971628
0,73,464.482248
0,78,689.516216
0,80,474.083458
0,85,612.048697
0,86,634.036131
0,87,684.971831
0,89,780.447746
0,92,585.612007
0,94,622.151233
0,97,718.486913
0,99,803.938479
1,2,34.953847
1,4,180.141652
1,15,257.606852
1,16,298.500764
1,19,475.561590
1,23,153.864746
1,31,180.690366
1,35,298.149906
1,36,352.810084
1,37,407.704647
1,38,463.468756
1,49,543.317143
1,51,289.522440
1,53,322.475658
1,54,371.973923
1,58,521.257948
1,73,421.419536
1,78,626.654643
1,80,453.194410
1,85,559.676039
1,86,579.130141
1,87,627.397248
1,89,718.141110
1,92,551.883232
1,94,576.401082
1,97,661.715827
1,99,743.733511
2,4,146.158165
2,15,222.653259
2,16,263.548145
2,19,440.805218
2,23,126.683461
2,31,172.679139
2,35,267.529435
2,36,319.452363
2,37,374.034817
2,38,428.967605
2,49,509.873436
2,51,283.748147
2,53,304.817654
2,54,348.557367
2,58,488.975764
2,73,405.003424
2,78,596.990729
2,80,449.177880
2,85,536.876483
2,86,554.695975
2,87,601.174812
2,89,688.752031
2,92,540.121200
2,94,557.565738
2,97,635.939288
2,99,715.676755
4,15,90.301363
4,16,128.859998
4,19,297.164856
4,23,134.887716
4,31,240.153991
4,35,195.598658
4,36,213.084589
4,37,260.525874
4,38,302.338017
4,49,394.530518
4,51,338.913160
4,53,308.216768
4,54,316.129077
4,58,385.223785
4,73,403.991985
4,78,510.566466
4,80,497.412395
4,85,495.085834
4,86,502.865121
4,87,537.064885
4,89,602.174189
4,92,552.424334
4,94,535.881480
4,97,573.499195
4,99,637.318738
15,16,40.911526
15,19,221.082317
15,23,157.071162
15,31,262.354264
15,35,135.445202
15,36,127.978031
15,37,171.481519
15,38,212.392921
15,49,304.442114
15,51,340.981909
15,53,281.459663
15,54,266.244920
15,58,297.259072
15,73,366.471006
15,78,426.555584
15,80,484.987036
15,85,430.792141
15,86,433.396810
15,87,461.317288
15,89,517.362479
15,92,516.074685
15,94,480.949483
15,97,497.904855
15,99,554.916725
16,19,181.863163
16,23,191.865095
16,31,293.834561
16,35,137.859314
16,36,105.694145
16,37,140.101741
16,38,173.786121
16,49,268.992186
16,51,364.551576
16,53,294.615517
16,54,267.758824
16,58,266.404321
16,73,372.419731
16,78,399.841802
16,80,500.996885
16,85,420.066830
16,86,419.015919
16,87,441.899315
16,89,489.404905
16,92,520.715028
16,94,475.677229
16,97,478.368386
16,99,529.243337
19,23,372.284694
19,31,469.672653
19,35,278.062787
19,36,200.845873
19,37,172.641714
19,38,121.079522
19,49,207.320467
19,51,525.425438
19,53,435.853287
19,54,381.577550
19,58,242.411166
19,73,488.907972
19,78,377.486937
19,80,639.911470
19,85,474.201790
19,86,457.654152
19,87,454.636881
19,89,450.278895
19,92,624.750362
19,94,546.984357
19,97,487.200931
19,99,500.876190
23,31,108.159701
23,35,146.973880
23,36,212.085297
23,37,267.992162
23,38,331.742251
23,49,400.163282
23,51,204.218695
23,53,189.305275
23,54,223.090902
23,58,372.830722
23,73,289.717044
23,78,473.188259
23,80,364.872647
23,85,411.425970
23,86,428.274554
23,87,474.526968
23,89,564.485413
23,92,432.876919
23,94,436.583364
23,97,509.256370
23,99,589.907270
31,35,210.213071
31,36,289.105405
31,37,342.489621
31,38,412.161851
31,49,463.702985
31,51,111.244484
31,53,154.072160
31,54,222.627172
31,58,426.603548
31,73,246.909202
31,78,502.390131
31,80,276.955692
31,85,400.278824
31,86,425.883941
31,87,481.510015
31,89,589.466721
31,92,371.484054
31,94,405.013035
31,97,512.908711
31,99,605.751111
35,36,81.340888
35,37,132.481923
35,38,203.210814
35,49,256.625640
35,51,247.979394
35,53,161.142436
35,54,131.170264
35,58,226.145798
35,73,234.567190
35,78,329.825084
35,80,368.180068
35,85,300.060969
35,86,307.324314
35,87,343.835423
35,89,421.807649
35,92,383.145150
35,94,346.105493
35,97,379.971936
35,99,451.186550
36,37,55.917412
36,38,123.062474
36,49,190.510677
36,51,328.404259
36,53,235.045518
36,54,184.816805
36,58,173.028306
36,73,293.016725
36,78,298.667903
36,80,439.477801
36,85,317.240770
36,86,314.129564
36,87,336.282399
36,89,389.739710
36,92,435.733796
36,94,377.426223
36,97,372.781420
36,99,426.946264
37,38,72.097512
37,49,136.137958
37,51,373.877145
37,53,273.692794
37,54,211.203148
37,58,126.363053
37,73,317.311052
37,78,261.081931
37,80,472.287096
37,85,311.082186
37,86,300.983827
37,87,312.727434
37,89,349.690477
37,92,452.186939
37,94,379.235077
37,97,348.452153
37,99,390.909267
38,49,103.259702
38,51,445.969206
38,53,344.983675
38,54,279.116501
38,58,124.791543
38,73,382.779454
38,78,263.989506
38,80,540.954513
38,85,353.676084
38,86,336.576250
38,87,335.100884
38,89,344.078157
38,92,511.458914
38,94,427.703795
38,97,368.504350
38,99,391.504370
49,51,474.408736
49,53,364.749237
49,54,286.229529
49,58,55.111190
49,73,375.065637
49,78,171.149856
49,80,539.656699
49,85,300.339334
49,86,274.145304
49,87,256.608295
49,89,243.941437
49,92,482.389226
49,94,380.190027
49,97,286.162419
49,99,293.693620
51,53,111.733320
51,54,194.580735
51,58,428.420038
51,73,168.224190
51,78,473.682774
51,80,165.750950
51,85,337.659127
51,86,369.996073
51,87,431.632722
51,89,552.952077
51,92,268.879907
51,94,323.677528
51,97,458.442695
51,99,559.661590
53,54,82.961933
53,58,317.464079
53,73,100.724810
53,78,364.685777
53,80,207.137591
53,85,246.433890
53,86,273.457352
53,87,331.461762
53,89,446.867827
53,92,244.944929
53,94,254.041417
53,97,361.351300
53,99,457.958372
54,58,236.877713
54,73,108.202126
54,78,283.529018
54,80,261.853223
54,85,188.382773
54,86,207.515547
54,87,259.719044
54,89,368.053565
54,92,253.380505
54,94,219.816633
54,97,292.295581
54,99,383.128193
58,73,321.615522
58,78,140.208730
58,80,486.427454
58,85,247.089433
58,86,222.974188
58,87,212.516945
58,89,225.008138
58,92,427.288893
58,94,326.304905
58,97,244.790674
58,99,269.331860
73,78,327.737703
73,80,164.860950
73,85,171.297389
73,86,206.288680
73,87,269.986293
73,89,397.721052
73,92,149.776217
73,94,158.663377
73,97,293.774669
73,99,397.966961
78,80,483.649412
78,85,185.898658
78,86,147.612503
78,87,101.090725
78,89,92.138495
78,92,385.766784
78,94,263.357832
78,97,121.610834
78,99,129.900234
80,85,307.502985
80,86,347.082018
80,87,411.128830
80,89,543.774168
80,92,147.494038
80,94,255.394486
80,97,426.741520
80,99,534.027208
85,86,39.984385
85,87,103.634991
85,89,236.385607
85,92,199.868239
85,94,81.002915
85,97,122.959152
85,99,228.942031
86,87,64.548149
86,89,196.692324
86,92,238.745937
86,94,115.981686
86,97,88.508127
86,99,191.766885
87,89,133.047301
87,92,297.370167
87,94,170.933229
87,97,36.587851
87,99,128.220507
89,92,428.932045
89,94,301.838843
89,97,126.712233
89,99,54.686133
92,94,127.147843
92,97,304.343067
92,99,409.643297
94,97,177.364204
94,99,283.370829
97,99,107.286704
