node_id,role,initial_energy_j,final_energy_j,total_energy_consumed_j,tx_energy_consumed_j,rx_energy_consumed_j,tx_packet_count,rx_packet_count,total_packet_count,avg_energy_per_tx_packet_j,avg_energy_per_rx_packet_j,energy_efficiency_j_per_packet
0,UNREGISTERED,2.000000,1.687456,0.012544,0.003769,0.008774,57,79,136,0.000066127,0.000111069,0.000092233
1,UNREGISTERED,2.000000,1.675591,0.024409,0.004527,0.019881,62,179,241,0.000073021,0.000111069,0.000101280
2,UNREGISTERED,2.000000,1.683643,0.016357,0.003695,0.012662,43,114,157,0.000085939,0.000111069,0.000104186
3,UNREGISTERED,2.000000,1.688248,0.011752,0.001867,0.009885,27,89,116,0.000069136,0.000111069,0.000101309
4,UNREGISTERED,2.000000,1.682123,0.017877,0.004326,0.013550,46,122,168,0.000094053,0.000111069,0.000106410
5,UNREGISTERED,2.000000,1.688257,0.011743,0.002191,0.009552,34,86,120,0.000064440,0.000111069,0.000097857
6,UNREGISTERED,2.000000,1.682452,0.017548,0.003664,0.013884,53,125,178,0.000069136,0.000111069,0.000098583
7,UNREGISTERED,2.000000,1.678747,0.021253,0.004148,0.017105,60,154,214,0.000069136,0.000111069,0.000099312
8,UNREGISTERED,2.000000,1.680340,0.019660,0.003111,0.016549,45,149,194,0.000069136,0.000111069,0.000101342
9,UNREGISTERED,2.000000,1.688724,0.011276,0.002835,0.008441,41,76,117,0.000069136,0.000111069,0.000096374
10,ROUTER,2.000000,1.677389,0.022611,0.004840,0.017771,56,160,216,0.000086426,0.000111069,0.000104680
11,CLUSTER_HEAD,2.000000,1.675092,0.024908,0.004250,0.020659,66,186,252,0.000064387,0.000111069,0.000098843
12,CLUSTER_HEAD,2.000000,1.699068,0.030932,0.006497,0.024435,89,220,309,0.000073002,0.000111069,0.000100105
13,UNREGISTERED,2.000000,1.676903,0.023097,0.005215,0.017882,60,161,221,0.000086913,0.000111069,0.000104511
14,UNREGISTERED,2.000000,1.670038,0.029962,0.006637,0.023324,96,210,306,0.000069136,0.000111069,0.000097913
15,CLUSTER_HEAD,2.000000,1.699865,0.030135,0.009254,0.020881,102,188,290,0.000090724,0.000111069,0.000103913
16,UNREGISTERED,2.000000,1.676627,0.023373,0.005047,0.018326,73,165,238,0.000069136,0.000111069,0.000098207
17,UNREGISTERED,2.000000,1.672676,0.027324,0.003111,0.024213,45,218,263,0.000069136,0.000111069,0.000103894
18,UNREGISTERED,2.000000,1.670717,0.029283,0.006291,0.022991,91,207,298,0.000069136,0.000111069,0.000098264
19,UNREGISTERED,2.000000,1.675003,0.024997,0.005116,0.019881,74,179,253,0.000069136,0.000111069,0.000098804
20,CLUSTER_HEAD,2.000000,1.672557,0.027443,0.004563,0.022880,66,206,272,0.000069136,0.000111069,0.000100894
21,ROUTER,2.000000,1.697525,0.032475,0.008928,0.023547,89,212,301,0.000100317,0.000111069,0.000107890
22,ROUTER,2.000000,1.699790,0.030210,0.007329,0.022880,76,206,282,0.000096440,0.000111069,0.000107126
23,UNREGISTERED,2.000000,1.685472,0.044528,0.010874,0.033654,112,303,415,0.000097091,0.000111069,0.000107297
24,UNREGISTERED,2.000000,1.671011,0.028989,0.004665,0.024324,63,219,282,0.000074051,0.000111069,0.000102799
25,UNREGISTERED,2.000000,1.693939,0.036061,0.006739,0.029322,91,264,355,0.000074051,0.000111069,0.000101580
26,UNREGISTERED,2.000000,1.699935,0.030065,0.006185,0.023880,82,215,297,0.000075430,0.000111069,0.000101229
27,UNREGISTERED,2.000000,1.674789,0.025211,0.004663,0.020548,56,185,241,0.000083267,0.000111069,0.000104609
28,UNREGISTERED,2.000000,1.670928,0.029072,0.003526,0.025546,51,230,281,0.000069136,0.000111069,0.000103458
29,UNREGISTERED,2.000000,1.682509,0.017491,0.003941,0.013550,57,122,179,0.000069136,0.000111069,0.000097716
30,REGISTERED,2.000000,1.679730,0.020270,0.003831,0.016438,38,148,186,0.000100826,0.000111069,0.000108976
31,ROOT,2.000000,1.929222,0.070778,0.017798,0.052980,244,477,721,0.000072943,0.000111069,0.000098166
32,ROUTER,2.000000,1.684277,0.075723,0.028407,0.047315,281,426,707,0.000101094,0.000111069,0.000107104
33,UNREGISTERED,2.000000,1.699967,0.060033,0.018271,0.041762,253,376,629,0.000072217,0.000111069,0.000095442
