node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
0,10,72.081310,ROUTER,2,445.10017322380565
0,1,47.158002,UNREGISTERED,99999,390.10065166527147
0,2,100.766565,REGISTERED,3,390.100762005868
1,2,56.732033,REGISTERED,3,390.10071797133594
1,10,82.512049,ROUTER,2,445.10018365454505
1,12,97.116438,CLUSTER_HEAD,2,395.3143759142343
1,13,129.971859,REGISTERED,3,396.0169424416675
1,21,136.026381,ROUTER,1,390.10087656003066
2,22,120.262205,ROUTER,1,400.1002405244104
2,10,101.142496,ROUTER,2,445.10020228499195
3,2,76.640904,REGISTERED,3,390.1007378802065
3,13,72.175509,REGISTERED,3,396.01688464531753
3,23,121.677951,UNREGISTERED,3,385.1002908843277
3,1,119.664299,UNREGISTERED,99999,390.1007241715685
4,13,106.968592,REGISTERED,3,396.0169194383999
4,23,130.910419,UNREGISTERED,3,385.1003001167951
4,15,88.280702,UNREGISTERED,5,395.10092582239184
5,15,84.514040,UNREGISTERED,5,395.1009220557297
5,16,92.476209,UNREGISTERED,6,395.3147410962888
6,15,74.722394,UNREGISTERED,5,395.100912264083
6,16,64.464548,UNREGISTERED,6,395.3147130846277
7,16,87.125364,UNREGISTERED,6,395.3147357454429
8,7,49.836340,REGISTERED,7,300.9628861119373
8,27,117.937611,UNREGISTERED,5,277.88080788443773
8,18,48.505739,UNREGISTERED,6,280.96389106642977
8,19,84.878527,UNREGISTERED,7,287.8809933378412
8,9,48.342873,UNREGISTERED,7,300.96312811814164
10,30,126.440963,REGISTERED,1,339.6539193582681
10,12,99.662532,CLUSTER_HEAD,2,395.3143784603287
10,21,86.478846,ROUTER,1,390.1008270124963
10,22,135.009873,ROUTER,1,400.10025527207864
10,20,63.889567,CLUSTER_HEAD,1,445.1001916316944
10,11,39.599093,CLUSTER_HEAD,2,445.10015542707686
10,31,55.820528,ROOT,0,311.1000558205279
10,40,137.317390,ROUTER,1,321.59496656787354
10,32,107.480290,ROUTER,1,321.59485274821475
10,41,116.024443,ROUTER,1,321.5948394713148
10,23,117.233581,ROUTER,3,282.4420289708921
10,42,45.652508,CLUSTER_HEAD,3,110.32534418652419
10,52,87.670459,UNREGISTERED,4,106.9772650121639
10,33,47.702992,CLUSTER_HEAD,2,110.32544226001734
10,44,108.150663,REGISTERED,3,93.89257697074014
10,43,87.977325,UNREGISTERED,3,103.89265410733385
10,24,105.837901,UNREGISTERED,3,118.09085379856742
10,13,87.532167,UNREGISTERED,4,196.01690000197513
10,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
10,60,112.180627,ROUTER,3,181.28645478995745
11,21,55.417393,ROUTER,1,390.1007959510428
11,12,62.071069,CLUSTER_HEAD,2,395.3143408688657
11,1,83.726560,UNREGISTERED,99999,390.1006882338287
11,22,97.389692,ROUTER,1,400.1002176518968
11,30,112.978699,REGISTERED,1,339.6539058960045
11,20,52.493231,CLUSTER_HEAD,1,445.10018023535804
11,2,77.579495,REGISTERED,3,390.1007388187975
11,32,57.495703,ROUTER,1,121.59480276362736
11,23,68.145657,ROUTER,3,186.01640939721756
11,42,93.183713,CLUSTER_HEAD,3,186.97694018605637
11,33,93.191157,CLUSTER_HEAD,2,194.4271408571642
11,31,48.007783,ROOT,0,211.10004800778268
11,41,98.920885,ROUTER,1,173.77282160019826
11,24,115.758058,REGISTERED,3,194.4271587424478
11,40,138.353034,REGISTERED,1,107.90964243331524
11,44,108.150663,REGISTERED,3,93.89257697074014
11,43,87.977325,UNREGISTERED,3,103.89265410733385
11,52,87.670459,UNREGISTERED,4,106.9772650121639
11,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
11,25,125.809761,UNREGISTERED,4,109.11567406756669
11,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
11,4,130.910419,ROUTER,5,170.9619897716412
11,61,125.659892,UNREGISTERED,3,146.9772330093547
11,53,96.009020,UNREGISTERED,4,172.32993675813262
11,51,83.621669,UNREGISTERED,3,183.77288810158808
11,13,115.827984,REGISTERED,3,396.0169282977917
11,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
11,60,112.180627,ROUTER,3,181.28645478995745
11,0,47.158002,CLUSTER_HEAD,6,230.3140517007565
11,3,76.640904,UNREGISTERED,5,277.41789340356496
11,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
11,62,133.959181,UNREGISTERED,5,226.9780974331592
12,22,69.122136,ROUTER,1,370.1005368944009
12,21,70.158875,ROUTER,1,390.100810692525
12,20,97.670302,CLUSTER_HEAD,1,390.10083666223244
12,2,51.152132,REGISTERED,3,390.1007123914343
12,13,53.892481,REGISTERED,3,396.0168663622889
12,23,84.603188,UNREGISTERED,3,385.10025380956483
13,22,87.532167,ROUTER,1,400.1002077943722
14,13,79.557817,REGISTERED,3,396.0168920276251
14,23,82.711194,UNREGISTERED,3,385.1002519175707
14,15,76.937713,UNREGISTERED,5,395.10091447940283
15,26,71.948298,CLUSTER_HEAD,4,395.10083754168943
15,16,46.967046,UNREGISTERED,6,395.31469558712485
17,26,98.476024,CLUSTER_HEAD,4,395.10086406941554
17,25,128.672163,UNREGISTERED,4,109.11567692996833
17,36,129.616871,REGISTERED,4,109.11591771886587
17,7,62.539804,REGISTERED,7,300.96289881540156
17,15,105.484635,ROUTER,5,305.31461320357835
17,27,70.928061,CLUSTER_HEAD,5,280.9638387565762
17,18,60.098389,UNREGISTERED,6,280.9639026590799
17,28,95.763354,UNREGISTERED,6,280.96390721592485
17,16,60.284857,UNREGISTERED,6,395.3147089049363
20,30,63.328243,REGISTERED,1,339.65385624554773
20,21,40.205898,ROUTER,1,390.10078073954793
20,31,83.887894,ROOT,0,445.10021902737117
20,22,95.116327,ROUTER,1,400.1002153785326
20,32,57.495703,ROUTER,1,121.59480276362736
20,23,68.145657,ROUTER,3,186.01640939721756
20,42,93.183713,CLUSTER_HEAD,3,186.97694018605637
20,33,93.191157,CLUSTER_HEAD,2,194.4271408571642
20,41,137.288758,ROUTER,1,350.1002249592166
20,24,115.758058,REGISTERED,3,194.4271587424478
20,40,138.353034,REGISTERED,1,107.90964243331524
20,44,108.150663,REGISTERED,3,93.89257697074014
20,43,87.977325,UNREGISTERED,3,103.89265410733385
20,52,87.670459,UNREGISTERED,4,106.9772650121639
20,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
20,25,125.809761,UNREGISTERED,4,109.11567406756669
20,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
20,4,130.910419,ROUTER,5,170.9619897716412
20,61,125.659892,UNREGISTERED,3,146.9772330093547
20,53,96.009020,UNREGISTERED,4,172.32993675813262
20,51,83.621669,UNREGISTERED,3,183.77288810158808
20,13,87.532167,UNREGISTERED,4,196.01690000197513
20,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
20,60,112.180627,ROUTER,3,181.28645478995745
20,1,134.484662,UNREGISTERED,99999,390.10073899193077
20,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
20,62,133.959181,UNREGISTERED,5,226.9780974331592
20,2,127.742128,REGISTERED,3,390.10078898143007
20,3,72.175509,UNREGISTERED,5,277.41788893817045
21,31,55.820528,ROOT,0,370.1001684165026
21,40,137.317390,ROUTER,1,321.59496656787354
21,32,107.480290,ROUTER,1,321.59485274821475
21,41,116.024443,ROUTER,1,350.10020369490235
21,23,117.233581,UNREGISTERED,3,385.1002864399575
21,22,55.127514,ROUTER,1,370.1005228997784
21,42,45.652508,CLUSTER_HEAD,3,110.32534418652419
21,52,87.670459,UNREGISTERED,4,106.9772650121639
21,33,47.702992,CLUSTER_HEAD,2,110.32544226001734
21,44,108.150663,REGISTERED,3,93.89257697074014
21,43,87.977325,UNREGISTERED,3,103.89265410733385
21,24,105.837901,UNREGISTERED,3,118.09085379856742
21,30,70.378590,REGISTERED,1,339.65386329589563
21,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
21,25,125.809761,UNREGISTERED,4,109.11567406756669
21,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
21,4,130.910419,ROUTER,5,170.9619897716412
21,61,125.659892,UNREGISTERED,3,146.9772330093547
21,53,96.009020,UNREGISTERED,4,172.32993675813262
21,51,83.621669,UNREGISTERED,3,183.77288810158808
21,13,115.364908,REGISTERED,3,396.0169278347165
21,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
21,36,123.545222,REGISTERED,4,109.11591164721752
