node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,47.158002,100.766565,166.790276,242.321970,296.931384,331.082663,422.506332,470.540972,516.248905,72.081310,94.658327,131.166502,172.182769,243.724405,318.399069,360.550284,420.739872,480.253055,536.534873,135.195759,149.941027,188.151118,215.112424,251.650739,338.352269,370.391115,459.899325,501.960028,574.343321,198.274228,205.736094,245.483001,272.915473,309.720793,341.790932,397.478492,474.822441,503.772787,567.686136,276.136148,265.713105,277.681681,333.007790,344.002490,394.954941,464.902030,503.967460,537.268709,601.625405,334.314999,312.476771,353.045801,372.893959,421.965661,458.785484,475.794990,545.019113,591.112190,657.279268,386.624842,368.767622,409.389280,435.878584,465.386813,514.772916,536.855079,571.678122,636.436203,677.839620,456.856258,459.411646,451.293086,497.856989,499.351568,533.938921,578.060463,620.809387,680.083008,729.549617,485.135384,491.098488,530.650685,552.841127,559.700329,600.777141,622.934646,675.129136,689.029844,765.483443,558.137968,548.831673,570.272465,613.879685,620.881299,668.313167,684.638720,713.576211,766.474048,801.826326
1,47.158002,0.000000,56.732033,119.664299,195.164013,250.090712,284.048526,375.437909,423.403990,469.185112,82.512049,83.726560,97.116438,129.971859,198.056298,271.948549,313.657823,373.798202,433.229348,489.533881,134.484662,136.026381,162.210992,177.160979,209.733679,294.553806,325.719197,414.061844,455.846128,527.673627,196.534971,189.401702,217.645327,239.083489,270.186401,300.938951,354.589078,429.960330,458.654435,521.858591,271.343747,250.411171,254.989354,303.118323,309.623057,355.537214,424.642118,461.500834,494.096982,556.718540,332.017927,301.024218,335.643576,347.763910,390.776608,423.864384,437.791815,504.488184,550.204272,614.529767,383.477141,357.365955,388.746238,410.143164,435.363784,481.936667,502.095017,532.975345,597.001356,636.868661,450.466045,447.209399,434.611882,476.131791,473.013574,503.536678,544.275976,584.148686,642.483446,690.185014,480.433042,481.329267,515.424593,531.625480,534.253225,571.806072,589.922631,640.950044,652.440434,726.849841,551.412715,536.105614,555.014753,594.279315,597.542651,640.985340,653.195251,680.258176,731.334877,765.225013
2,100.766565,56.732033,0.000000,76.640904,147.733920,206.578273,238.337152,328.728429,375.400182,422.199855,101.142496,77.579495,51.152132,73.335504,143.120042,218.521319,261.818572,322.102853,381.980912,438.046174,127.742128,112.319206,120.262205,122.369340,153.039750,238.077826,269.709172,359.265032,401.496624,474.640531,181.492608,157.206491,171.133890,186.643107,214.047650,244.364591,297.906299,374.104259,403.014008,467.027750,248.658802,216.428283,212.797032,253.218465,256.198533,299.312529,368.130859,404.784805,437.483698,500.905951,310.382251,269.798344,297.260736,301.607705,339.211035,369.670858,382.010036,447.896071,493.544604,557.852972,359.774910,324.973939,346.384447,362.896872,384.468759,428.897386,447.836870,476.856847,540.633977,580.192217,422.151391,412.716187,395.672981,432.021163,424.880964,452.114082,490.517447,528.814491,586.711871,633.812216,453.625888,449.040689,477.251642,487.656475,486.589046,521.240774,536.560749,586.834141,597.089397,670.679678,521.748409,500.292486,516.547935,551.481262,551.416662,591.489675,600.736029,626.595828,676.627513,709.808236
3,166.790276,119.664299,76.640904,0.000000,75.771433,131.214127,164.509097,255.815672,303.751776,349.562573,177.766473,151.310965,102.409864,72.175509,92.774757,157.873787,196.369992,255.979215,314.811669,371.182765,197.330600,172.556727,157.285625,121.677951,126.536065,194.069422,219.943724,301.520913,341.794779,410.897073,242.655418,203.429736,191.256213,187.227043,190.990776,213.598929,256.013894,321.514233,348.847084,408.716172,299.596309,255.288549,238.232593,257.276089,247.344664,271.125064,334.508773,362.191743,391.623669,447.058689,360.234399,309.595990,324.893017,313.294306,334.020809,352.932917,355.547349,411.604291,455.273078,512.410973,406.028585,361.025320,364.748658,369.679679,380.200086,415.897033,429.132578,446.002629,506.534608,540.732813,461.358553,443.238857,419.151983,444.421369,427.747905,444.600054,473.435113,503.131890,557.520453,598.915079,494.224724,482.180873,500.389861,499.292381,489.490952,515.375142,520.546006,566.970803,570.618920,637.621021,557.501527,527.064862,538.526128,564.631431,557.164574,587.931458,587.508128,608.366744,653.129189,682.102348
4,242.321970,195.164013,147.733920,75.771433,0.000000,61.466779,90.700418,181.100008,228.401939,274.720659,246.612902,215.135478,156.851386,106.968592,55.286379,88.280702,121.882629,180.795523,239.228273,295.595450,254.294818,222.283779,189.949057,130.910419,106.332168,139.301722,157.352526,230.245099,268.995935,336.055566,288.437148,237.836650,203.518764,181.313529,159.714034,171.144240,199.073672,253.494068,279.346726,336.253746,332.004217,278.319280,249.858594,246.242268,224.270554,226.707321,282.031982,301.203655,327.536331,376.909014,389.096539,330.168136,332.482616,305.726145,308.672241,315.550686,308.922327,354.855235,396.191498,447.320200,429.591459,375.438123,361.176494,354.427530,353.732403,379.904106,387.488770,393.208551,450.122403,479.762606,475.910224,449.189858,418.656495,432.071391,406.561036,412.974396,432.255655,453.801556,504.500764,540.921245,509.519394,489.841272,497.332423,484.763261,466.681518,483.680670,479.440937,521.752259,519.707297,580.741986,566.392994,527.142557,533.481501,550.266660,535.712379,557.137725,547.876721,564.049922,603.846216,629.121416
5,296.931384,250.090712,206.578273,131.214127,61.466779,0.000000,36.310749,126.738351,176.049363,220.062623,306.704234,276.183634,218.312444,168.044517,103.869048,84.514040,92.476209,141.953514,195.248109,250.627645,315.754261,283.406470,248.785273,186.026080,152.069174,150.191346,154.161048,203.501695,236.634180,295.129616,348.741083,296.271733,255.979129,226.905215,191.252197,191.784934,200.332843,233.149994,254.933611,303.319615,388.836061,332.782662,300.585819,285.628331,256.856979,240.825104,284.176835,291.143140,311.794664,348.817302,444.273880,382.913634,379.478829,345.127538,335.858997,332.329637,316.704789,349.117760,386.328547,427.546272,482.442300,424.957467,401.619047,387.630249,378.690891,396.081604,398.106088,391.521654,442.826760,465.835019,524.398190,493.600063,459.892197,465.699066,434.372890,432.274479,442.370616,454.949293,500.593879,530.323550,558.084279,534.726705,536.028985,516.107273,492.197803,501.662566,488.802139,526.320552,518.066301,571.173146,611.286219,567.410901,570.555628,580.935212,561.328652,574.912730,557.718996,569.029429,603.088454,623.891878
6,331.082663,284.048526,238.337152,164.509097,90.700418,36.310749,0.000000,91.486055,140.297187,185.188045,337.221172,305.049403,245.408638,193.128036,120.609572,74.722394,64.464548,107.164230,159.095519,214.345409,341.861689,307.624081,268.728382,202.882438,162.981183,139.780955,135.431516,171.705804,202.619894,259.135038,370.460565,315.162964,268.793357,234.672300,190.702040,184.513900,181.686767,203.342240,223.297764,268.785188,404.922783,346.579053,311.133201,287.477793,254.711925,227.894872,263.779939,264.825478,282.851743,315.374520,458.070170,394.514789,385.890354,346.040161,328.703006,319.007915,298.686012,324.063769,359.168363,396.385071,493.529602,433.185927,402.661807,383.711493,369.587666,381.632764,380.599062,367.938136,416.390213,436.620095,531.113478,497.019638,461.047081,461.361164,426.483133,419.262345,424.217347,432.233295,475.322461,502.146294,564.715414,538.308387,534.812988,509.899161,482.430003,487.382682,469.937097,504.844537,493.721088,543.268009,614.537507,567.203658,567.986589,573.930905,551.213844,560.115035,538.731316,547.558345,578.806402,597.601494
7,422.506332,375.437909,328.728429,255.815672,181.100008,126.738351,91.486055,0.000000,49.836340,93.747994,426.335737,392.740761,331.802455,278.308664,200.641694,131.230174,87.125364,62.539804,82.148055,131.122033,426.260160,390.032183,346.188090,278.225996,232.653550,175.800578,152.100063,129.812850,142.986221,179.884242,448.779447,390.190967,335.699801,294.764726,239.207865,220.116711,189.110911,166.909677,175.732140,201.471262,474.044919,412.933129,372.861957,333.905988,294.819622,245.159839,256.483656,237.014958,243.310788,252.951520,522.480891,456.046234,437.876965,388.096999,353.388247,328.555830,296.174090,297.238369,323.043552,342.797149,552.482035,487.659126,443.206621,413.809015,387.742198,385.247976,375.541157,344.257977,381.056074,390.216683,580.953756,540.545975,500.411135,488.269847,445.731383,425.482378,415.723786,409.266088,442.638238,458.437183,613.931536,581.501825,567.466180,531.233952,495.452383,488.254095,458.024088,484.066673,463.809085,499.899253,655.986822,601.625071,596.965253,592.121299,561.899345,558.032288,524.928050,525.957619,547.584622,559.260555
8,470.540972,423.403990,375.400182,303.751776,228.401939,176.049363,140.297187,49.836340,0.000000,48.342873,471.614457,436.999302,375.451355,321.617753,242.614161,168.681766,121.838198,72.545070,48.505739,84.878527,468.114371,430.829111,384.505659,316.379262,269.189519,200.864163,170.957861,117.937611,115.445488,135.037720,486.735726,426.713281,368.587857,325.077258,265.871839,241.726813,199.142714,153.452212,153.755495,164.027794,506.498620,444.452959,402.457822,356.400269,315.252805,256.202252,253.630644,223.303243,222.060815,216.950943,551.882960,484.456659,461.349787,407.131991,364.096237,331.928894,294.141898,281.332846,300.879198,310.028184,578.575349,511.870228,460.481246,426.016579,394.116665,383.811900,369.578648,328.676468,357.977735,360.718301,601.730660,558.212408,516.260614,497.539697,451.531700,424.595973,406.962810,392.592006,419.984571,429.493573,634.102300,598.595640,578.909479,536.915073,497.091050,483.378674,446.612036,467.386346,442.382705,470.691114,671.521720,613.711635,606.109632,595.416776,561.423454,550.644339,511.536927,508.298100,524.468944,532.209377
9,516.248905,469.185112,422.199855,349.562573,274.720659,220.062623,185.188045,93.747994,48.342873,0.000000,519.126659,484.836660,423.417754,369.630416,290.787061,217.021238,170.157129,118.477165,74.875838,75.466785,516.380985,479.157850,432.799188,364.682833,317.403402,247.101472,215.678764,149.480003,133.264479,122.449575,534.977298,474.819566,416.121374,372.095586,312.109979,286.483041,239.654152,181.056659,173.765972,163.851430,553.772813,491.559337,449.105835,400.744479,358.988833,296.184390,285.285008,247.405476,239.187847,216.186842,598.243073,530.590522,505.714820,449.762198,402.735549,366.467997,325.577817,301.828048,314.769406,311.127083,623.737845,556.411919,502.042597,465.072828,429.946540,414.474896,396.993421,348.505096,369.821865,365.112255,644.582439,599.647073,556.885681,534.506817,486.582523,455.270488,431.686202,410.430616,431.434131,433.646480,676.602298,639.629993,616.853111,571.418022,529.048318,510.565400,468.669442,484.405809,454.882625,474.094099,711.551774,651.925167,642.561574,628.042765,591.495287,575.349706,531.274682,524.015268,534.427484,537.677338
