time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
52.04104557188917,NETWORK_REQUEST,"[0,1]",16,"[0,254]","[0,254]",,DIRECT
52.04111245115496,NETWORK_REPLY,"[0,254]",17,"[0,1]","[0,1]",,DIRECT
53.23481959143953,NETWORK_REQUEST,"[0,2]",8,"[0,254]","[0,254]",,DIRECT
53.23490403167225,NETWORK_REPLY,"[0,254]",17,"[0,2]","[0,2]",,DIRECT
82.04089567807404,SENSOR_DATA,"[0,1]",16,"[1,3]","[1,3]",,DIRECT
83.23471964286125,SENSOR_DATA,"[0,2]",8,"[2,2]","[2,2]",,DIRECT
101.01127222230089,NETWORK_REQUEST,"[0,3]",26,"[0,254]","[0,254]",,DIRECT
101.01130700458643,NETWORK_REQUEST,"[0,3]",26,"[0,254]","[0,254]",,DIRECT
101.01136928163892,NETWORK_REPLY,"[0,254]",17,"[0,3]","[0,3]",,DIRECT
101.01140406392446,NETWORK_REPLY,"[0,254]",17,"[0,3]","[0,3]",,DIRECT
103.23503844619411,SENSOR_DATA,"[2,1]",19,"[2,2]","[2,2]",,DIRECT
107.00237173002047,NETWORK_REQUEST,"[1,1]",5,"[1,254]","[0,254]",,TREE
107.00244667692803,NETWORK_REQUEST,"[1,1]",16,"[0,254]","[0,254]",,DIRECT
107.00251355619382,NETWORK_REPLY,"[0,254]",17,"[0,1]","[1,1]",,TREE
107.0025804354596,NETWORK_REPLY,"[0,254]",16,"[1,1]","[1,1]",,DIRECT
107.1065120484429,SENSOR_DATA,"[1,2]",6,"[0,3]","[0,3]",,DIRECT
111.01111280095029,SENSOR_DATA,"[0,3]",26,"[3,2]","[3,2]",,DIRECT
122.04112051879673,SENSOR_DATA,"[1,1]",5,"[0,1]","[0,1]",,DIRECT
127.10641884739687,SENSOR_DATA,"[1,3]",15,"[0,1]","[0,1]",,DIRECT
127.89047515898184,SENSOR_DATA,"[2,2]",9,"[2,254]","[0,2]",,TREE
127.89052591172675,SENSOR_DATA,"[2,2]",19,"[0,2]","[0,2]",,DIRECT
132.04089567807404,SENSOR_DATA,"[0,1]",16,"[1,1]","[1,1]",,DIRECT
133.23471964286125,SENSOR_DATA,"[0,2]",8,"[2,1]","[2,1]",,DIRECT
137.18457464312363,NETWORK_REQUEST,"[0,4]",18,"[0,254]","[0,254]",,DIRECT
137.18464934927007,NETWORK_REPLY,"[0,254]",17,"[0,4]","[0,4]",,DIRECT
141.0114586553383,NETWORK_REQUEST,"[3,4]",46,"[3,254]","[0,254]",,TREE
141.01151576320078,NETWORK_REQUEST,"[3,4]",37,"[0,3]","[0,254]",,TREE
141.01161286501886,NETWORK_REQUEST,"[3,4]",26,"[0,254]","[0,254]",,DIRECT
141.01170163747,NETWORK_REQUEST,"[3,4]",46,"[3,254]","[0,254]",,TREE
141.0117099243569,NETWORK_REPLY,"[0,254]",17,"[0,3]","[3,4]",,TREE
141.0117587453325,NETWORK_REQUEST,"[3,4]",37,"[0,3]","[0,254]",,TREE
141.01180698369492,NETWORK_REPLY,"[0,254]",26,"[3,2]","[3,4]",,TREE
141.01185584715057,NETWORK_REQUEST,"[3,4]",26,"[0,254]","[0,254]",,DIRECT
141.011904085513,NETWORK_REPLY,"[0,254]",37,"[3,4]","[3,4]",,DIRECT
141.0119529064886,NETWORK_REPLY,"[0,254]",17,"[0,3]","[3,4]",,TREE
141.01204996582663,NETWORK_REPLY,"[0,254]",26,"[3,2]","[3,4]",,TREE
141.01214706764472,NETWORK_REPLY,"[0,254]",37,"[3,4]","[3,4]",,DIRECT
151.01154605165223,SENSOR_DATA,"[3,1]",35,"[1,3]","[1,3]",,DIRECT
