time,avg_power_j,min_power_j,max_power_j,alive_nodes,dead_nodes
0.1,2.000000,2.000000,2.000000,100,0
50.1,1.999300,1.994367,2.000000,100,0
100.1,1.996843,1.985819,2.000000,100,0
150.1,1.992543,1.975784,2.000000,100,0
200.1,1.987040,1.965333,1.999348,100,0
250.1,1.982052,1.955490,1.998378,100,0
300.1,1.978704,1.948065,1.997068,100,0
350.1,1.976252,1.945858,1.995703,100,0
400.1,1.974152,1.944138,1.994634,100,0
450.1,1.971823,1.942847,1.993748,100,0
500.1,1.969505,1.930623,1.993012,97,3
550.1,1.966854,1.924391,1.991654,100,0
600.1,1.964837,1.922328,1.990697,100,0
650.1,1.962827,1.919916,1.989450,100,0
700.1,1.960795,1.915960,1.988534,100,0
750.1,1.958696,1.912526,1.987773,100,0
800.1,1.956201,1.900520,1.986886,100,0
850.1,1.951658,1.750041,1.986489,98,2
900.1,1.949780,1.746886,1.985602,98,2
950.1,1.947363,1.742261,1.985206,98,2
1000.1,1.945428,1.739973,1.984319,98,2
1050.1,1.943178,1.737065,1.983923,98,2
1100.1,1.941273,1.734029,1.982925,98,2
1150.1,1.938899,1.730760,1.982417,98,2
1200.1,1.936968,1.728222,1.981531,98,2
1250.1,1.934292,1.722500,1.981134,98,2
1300.1,1.931802,1.709913,1.980247,98,2
1350.1,1.929394,1.706131,1.979851,98,2
1400.1,1.927296,1.702872,1.979075,98,2
1450.1,1.927003,1.829133,1.978679,97,3
1500.1,1.924965,1.825516,1.977792,97,3
1550.1,1.922711,1.819515,1.977395,97,3
1600.1,1.920460,1.813486,1.976509,97,3
1650.1,1.917925,1.809759,1.976001,97,3
1700.1,1.915553,1.807557,1.975114,97,3
1750.1,1.913028,1.800003,1.974718,97,3
1800.1,1.910369,1.793365,1.973831,97,3
1850.1,1.907680,1.790178,1.973435,97,3
1900.1,1.905394,1.784482,1.972548,97,3
1950.1,1.903084,1.780824,1.972151,97,3
2000.1,1.901041,1.777568,1.971153,97,3
2050.1,1.898532,1.772825,1.970757,97,3
2100.1,1.896311,1.768704,1.969870,97,3
2150.1,1.894027,1.764937,1.969474,97,3
2200.1,1.891862,1.754911,1.968587,97,3
2250.1,1.889594,1.750826,1.968413,97,3
2300.1,1.887489,1.744455,1.967415,97,3
2350.1,1.885265,1.740148,1.967018,97,3
2400.1,1.883325,1.735598,1.966131,97,3
2450.1,1.880989,1.731419,1.965735,97,3
2500.1,1.878908,1.725349,1.964959,97,3
2550.1,1.876837,1.721441,1.964674,97,3
2600.1,1.874751,1.713058,1.963787,97,3
2650.1,1.872572,1.708003,1.963502,97,3
2700.1,1.870388,1.701196,1.962504,97,3
2750.1,1.870737,1.729981,1.962107,95,5
2800.1,1.868591,1.720016,1.961220,95,5
2850.1,1.866198,1.715967,1.960824,95,5
2900.1,1.864530,1.712378,1.960048,95,5
2950.1,1.862556,1.711462,1.959652,95,5
3000.1,1.860800,1.707623,1.958876,95,5
3050.1,1.858649,1.704836,1.958480,95,5
3100.1,1.858233,1.710156,1.957371,94,6
3150.1,1.855865,1.708084,1.956974,94,6
3200.1,1.854240,1.703066,1.956087,94,6
3250.1,1.852006,1.701741,1.955691,94,6
3300.1,1.852108,1.721738,1.954915,93,7
3350.1,1.849950,1.719479,1.954519,93,7
3400.1,1.848367,1.717553,1.953632,93,7
3450.1,1.846247,1.715294,1.953347,93,7
3500.1,1.844653,1.713369,1.952460,93,7
3550.1,1.842425,1.711110,1.951952,93,7
3600.1,1.841006,1.709184,1.951065,93,7
3650.1,1.838668,1.706006,1.950669,93,7
3700.1,1.837250,1.704688,1.949893,93,7
3750.1,1.835023,1.702335,1.949497,93,7
3800.1,1.833303,1.700635,1.948610,93,7
3850.1,1.834105,1.720596,1.948214,91,9
3900.1,1.832672,1.718666,1.947517,91,9
3950.1,1.830483,1.716244,1.946880,91,9
4000.1,1.829009,1.714790,1.946700,91,9
4050.1,1.827097,1.711249,1.946174,91,9
4100.1,1.825692,1.709116,1.946105,91,9
4150.1,1.823876,1.707395,1.945357,91,9
4200.1,1.822487,1.705082,1.945288,91,9
4250.1,1.820547,1.701088,1.944540,91,9
4300.1,1.820240,1.700028,1.944471,90,10
4350.1,1.820908,1.704001,1.943834,88,12
4400.1,1.819432,1.701325,1.943654,88,12
4450.1,1.818710,1.703870,1.942795,87,13
4500.1,1.818552,1.713035,1.942725,86,14
4550.1,1.816815,1.711400,1.941866,86,14
4600.1,1.815144,1.709944,1.941797,86,14
4650.1,1.813266,1.708199,1.941160,86,14
4700.1,1.811850,1.704823,1.941091,86,14
4750.1,1.811430,1.703656,1.940454,85,15
4800.1,1.810144,1.702034,1.940385,85,15
4850.1,1.809542,1.701762,1.939748,84,16
4900.1,1.808275,1.700890,1.939679,84,16
4950.1,1.810285,1.701842,1.939042,81,19
