time,node_id,old_role,new_role
11.1,17,UNDISCOVERED,ROOT
12.040761919542467,16,UNDISCOVERED,UNREGISTERED
13.23455076239581,8,UNDISCOVERED,UNREGISTERED
32.040895678074044,16,UNREGISTERED,REGISTERED
32.040970624981604,5,UNDISCOVERED,UNREGISTERED
33.23471964286125,8,UNREGISTERED,REGISTERED
33.23476961715039,19,UNDISCOVERED,UNREGISTERED
37.106337024345606,15,UNDISCOVERED,UNREGISTERED
37.10636809136094,6,UNDISCOVERED,UNREGISTERED
37.89037365349202,9,UNDISCOVERED,UNREGISTERED
41.01091868227424,26,UNDISCOVERED,UNREGISTERED
52.041179330420746,16,REGISTERED,CLUSTER_HEAD
53.23498847190497,8,REGISTERED,CLUSTER_HEAD
53.23503844619411,19,UNREGISTERED,REGISTERED
53.23513839477239,19,REGISTERED,CLUSTER_HEAD
53.23518836906153,8,CLUSTER_HEAD,ROUTER
57.106512048442895,6,UNREGISTERED,REGISTERED
61.011112800950286,26,UNREGISTERED,REGISTERED
61.01119251162559,35,UNDISCOVERED,UNREGISTERED
61.01120990276836,37,UNDISCOVERED,UNREGISTERED
61.011219894535365,24,UNDISCOVERED,UNREGISTERED
61.01123144643185,47,UNDISCOVERED,UNREGISTERED
61.0112403859902,44,UNDISCOVERED,UNREGISTERED
72.04112051879673,5,UNREGISTERED,REGISTERED
77.10641884739687,15,UNREGISTERED,REGISTERED
77.89047515898184,9,UNREGISTERED,REGISTERED
81.01141362564901,46,UNDISCOVERED,UNREGISTERED
86.4685614383355,18,UNDISCOVERED,UNREGISTERED
87.00231462233401,4,UNDISCOVERED,UNREGISTERED
87.00241246811912,13,UNDISCOVERED,UNREGISTERED
101.01146634097695,26,REGISTERED,CLUSTER_HEAD
101.01154605165225,35,UNREGISTERED,REGISTERED
101.01156344279502,37,UNREGISTERED,REGISTERED
101.01175764643116,37,REGISTERED,CLUSTER_HEAD
101.01185474824923,26,CLUSTER_HEAD,ROUTER
106.4687108506284,18,UNREGISTERED,REGISTERED
107.00265538236717,5,REGISTERED,CLUSTER_HEAD
