Node ID,Position,Role
0,"(280.94464588555303, 219.94522614691658)",Roles.UNREGISTERED
1,"(290.823682528613, 266.0568496223168)",Roles.UNREGISTERED
2,"(327.5820375918321, 309.26965959944306)",Roles.UNREGISTERED
3,"(310.77807354214946, 384.0456915435599)",Roles.UNREGISTERED
4,"(331.4104147354151, 456.9539667457375)",Roles.UNREGISTERED
5,"(311.9376133612229, 515.2546954218502)",Roles.UNREGISTERED
6,"(328.42724818632564, 547.6053125204238)",Roles.UNREGISTERED
7,"(345.3129556568988, 637.5195562031522)",Roles.UNREGISTERED
8,"(366.4476819486121, 682.6525166813051)",Roles.UNREGISTERED
9,"(358.49298481190596, 730.3364363862429)",Roles.UNREGISTERED
10,"(352.4988949003017, 211.2443837138149)",Roles.ROUTER
11,"(372.0350416646276, 245.68893560156997)",Roles.CLUSTER_HEAD
12,"(378.7000304734371, 307.40113479849987)",Roles.CLUSTER_HEAD
13,"(379.2726628485992, 361.2905733047087)",Roles.UNREGISTERED
14,"(384.2511874688491, 440.6924658662791)",Roles.UNREGISTERED
15,"(396.4399933589892, 516.6585422113114)",Roles.CLUSTER_HEAD
16,"(390.951138912801, 563.3037546352157)",Roles.UNREGISTERED
17,"(405.8253794793198, 621.7248205921456)",Roles.UNREGISTERED
18,"(414.9295087156322, 681.129628547234)",Roles.UNREGISTERED
19,"(433.8593659531283, 734.2279872592005)",Roles.UNREGISTERED
20,"(416.1121264273104, 217.18016768729152)",Roles.CLUSTER_HEAD
21,"(426.47973878346204, 256.026362480747)",Roles.ROUTER
22,"(447.8200160245429, 306.855835923598)",Roles.ROUTER
23,"(431.96555101241364, 373.131521913342)",Roles.UNREGISTERED
24,"(431.65041334735895, 421.4790097066219)",Roles.UNREGISTERED
25,"(461.8362914856798, 505.88310442538335)",Roles.UNREGISTERED
26,"(463.74615767627915, 542.0836833700698)",Roles.UNREGISTERED
27,"(475.12402997838495, 636.8406038245791)",Roles.UNREGISTERED
28,"(481.86132810117766, 679.9412657939299)",Roles.UNREGISTERED
29,"(477.38172623044386, 759.65137233849)",Roles.UNREGISTERED
30,"(478.92150535469426, 209.09015985306024)",Roles.REGISTERED
31,"(480.15093122564235, 271.3669768305942)",Roles.ROOT
32,"(496.33631368246074, 337.70911309703644)",Roles.ROUTER
33,"(498.0003395528342, 385.3830728125719)",Roles.UNREGISTERED
34,"(490.85515154272787, 447.68312203791515)",Roles.CLUSTER_HEAD
